kode_standar;nama_standar;tipe;kelompok
1.1.7.01.02.04.019;Suku Cadang Alat Laboratorium Aero Dinamika;SSH;1
1.1.7.01.02.04.020;Suku Cadang Alat Laboratorium Standarisasi Kaliberasi Dan Instrumen Lainnya;SSH;1
1.1.7.01.02.04.021;Suku Cadang Alat Laboratorium Farmasi;SSH;1
1.1.7.01.02.04.022;Suku Cadang Alat Laboratorium Pemantauan Kualitas Udara;SSH;1
1.1.7.01.02.04.023;Suku Cadang Alat Laboratorium Fisika;SSH;1
1.1.7.01.02.04.024;Suku Cadang Alat Laboratorium Hidrodinamika;SSH;1
1.1.7.01.02.04.025;Suku Cadang Alat Laboratorium Pengkajian Teknik Pantai;SSH;1
1.1.7.01.02.04.026;Suku Cadang Alat Laboratorium Kematologi;SSH;1
1.1.7.01.02.04.027;Suku Cadang Alat Laboratorium Proses Peleburan;SSH;1
1.1.7.01.02.04.028;Suku Cadang Alat Laboratorium Pasir;SSH;1
1.1.7.01.02.04.029;Suku Cadang Alat Laboratorium Proses Pembuatan Cetakan;SSH;1
1.1.7.01.02.04.030;Suku Cadang Alat Laboratorium Proses Pembuatan Pola;SSH;1
1.1.7.01.02.04.031;Suku Cadang Alat Laboratoriummetalography;SSH;1
1.1.7.01.02.04.032;Suku Cadang Alat Laboratorium Proses Pengelasan;SSH;1
1.1.7.01.02.04.033;Suku Cadang Alat Laboratorium Uji Proses Pengelasan;SSH;1
1.1.7.01.02.04.034;Suku Cadang Alat Laboratorium Proses Pembuatan Logam;SSH;1
1.1.7.01.02.04.035;Suku Cadang Alat Laboratorium Metrologie;SSH;1
1.1.7.01.02.04.036;Suku Cadang Alat Laboratorium Proses Pelapisan Logam;SSH;1
1.1.7.01.02.04.037;Suku Cadang Alat Laboratorium Proses Pengolahan Panas;SSH;1
1.1.7.01.02.04.038;Suku Cadang Alat Laboratorium Proses Teknologi Tekstil;SSH;1
1.1.7.01.02.04.039;Suku Cadang Alat Laboratorium Uji Tekstil;SSH;1
1.1.7.01.02.04.040;Suku Cadang Alat Laboratorium Proses Teknologi Keramik;SSH;1
1.1.7.01.02.04.041;Suku Cadang Alat Laboratorium Proses Teknologi Kulit Karet;SSH;1
1.1.7.01.02.04.042;Suku Cadang Alat Laboratorium Uji Kulit Karet Dan Plastik;SSH;1
1.1.7.01.02.04.043;Suku Cadang Alat Laboratorium Alat Uji Keramik;SSH;1
1.1.7.01.02.04.044;Suku Cadang Alat Laboratorium Proses Teknologi Selulosa;SSH;1
1.1.7.01.02.04.045;Suku Cadang Alat Laboratorium Paskapanen;SSH;1
1.1.7.01.02.04.046;Suku Cadang Alat Laboratorium Pertanian (Suku Cadang Alat Laboratorium);SSH;1
1.1.7.01.02.04.047;Suku Cadang Alat Laboratorium Kualitas Air;SSH;1
1.1.7.01.02.04.048;Suku Cadang Alat Laboratorium Elektronika Dan Daya;SSH;1
1.1.7.01.02.04.049;Suku Cadang Alat Laboratorium Energi Surya;SSH;1
1.1.7.01.02.04.050;Suku Cadang Alat Laboratorium Konversi Batubara Dan Bioma;SSH;1
1.1.7.01.02.04.051;Suku Cadang Alat Laboratorium Oceanografi;SSH;1
1.1.7.01.02.04.052;Suku Cadang Alat Laboratorium Perairan;SSH;1
1.1.7.01.02.04.053;Suku Cadang Alat Laboratorium Biologi;SSH;1
1.1.7.01.02.04.054;Suku Cadang Alat Laboratorium Geofisika;SSH;1
1.1.7.01.02.04.055;Suku Cadang Alat Laboratorium Tambang;SSH;1
1.1.7.01.02.04.056;Suku Cadang Alat Laboratorium Tambang Proses/Teknik Kimia;SSH;1
1.1.7.01.02.04.057;Suku Cadang Alat Laboratorium Proses Industri;SSH;1
1.1.7.01.02.04.058;Suku Cadang Alat Laboratorium Kesehatan Kerja;SSH;1
1.1.7.01.02.04.059;Suku Cadang Alat Laboratorium Kearsipan;SSH;1
1.1.7.01.02.04.060;Suku Cadang Alat Laboratorium Perikanan Dan Kelautan;SSH;1
1.1.7.01.02.04.061;Suku Cadang Alat Laboratorium Lainnya;SSH;1
1.1.7.01.02.05.001;Suku Cadang Alat Pemancar Mf/Mw;SSH;1
1.1.7.01.02.05.002;Suku Cadang Alat Pemancar Hf/Sw;SSH;1
1.1.7.01.02.05.003;Suku Cadang Alat Pemancar Fhf/Mf;SSH;1
1.1.7.01.02.05.004;Suku Cadang Alat Pemancar Uhf;SSH;1
1.1.7.01.02.05.005;Suku Cadang Alat Pemancar Shf;SSH;1
1.1.7.01.02.05.006;Suku Cadang Alat Pemancar Lainnya;SSH;1
1.1.7.01.02.06.001;Suku Cadang Alat Studio;SSH;1
1.1.7.01.02.06.002;Suku Cadang Alat Komunikasi;SSH;1
1.1.7.01.02.06.003;Suku Cadang Alat Studio Dan Komunikasi Lainnya;SSH;1
1.1.7.01.02.07.001;Suku Cadang Alat Pengolahan Ternak Dan Tanaman;SSH;1
1.1.7.01.02.07.002;Suku Cadang Alat Pemeliharaan Tanaman/Ikan/Ternak;SSH;1
1.1.7.01.02.07.003;Suku Cadang Alat Panen;SSH;1
1.1.7.01.02.07.004;Suku Cadang Alat Penyimpanan Hasil Percobaan Pertanian;SSH;1
1.1.7.01.02.07.005;Suku Cadang Alat Laboratorium Pertanian (Suku Cadang Alat Pertanian);SSH;1
1.1.7.01.02.07.006;Suku Cadang Alat Prossesing;SSH;1
1.1.7.01.02.07.007;Suku Cadang Alat Paska Panen;SSH;1
1.1.7.01.02.07.008;Suku Cadang Alat Produksi;SSH;1
1.1.7.01.02.07.009;Suku Cadang Alat Pertanian Lainnya;SSH;1
1.1.7.01.02.08.001;Suku Cadang Alat Bengkel Bermesin;SSH;1
1.1.7.01.02.08.002;Suku Cadang Alat Bengkel Tidak Bermesin;SSH;1
1.1.7.01.02.08.003;Suku Cadang Alat Bengkel Lainnya;SSH;1
1.1.7.01.02.09.001;Suku Cadang Pistol;SSH;1
1.1.7.01.02.09.002;Suku Cadang Senapan Mesin;SSH;1
1.1.7.01.02.09.003;Suku Cadang Senapan Otomatis (So);SSH;1
1.1.7.01.02.09.004;Suku Cadang Meriam;SSH;1
1.1.7.01.02.09.005;Suku Cadang Rudal;SSH;1
1.1.7.01.02.09.006;Suku Cadang Jihandak;SSH;1
1.1.7.01.02.09.007;Suku Cadang Ranjau;SSH;1
1.1.7.01.02.09.008;Suku Cadang Penyamaran;SSH;1
1.1.7.01.02.09.009;Suku Cadang Alat Pembuat Senjata;SSH;1
1.1.7.01.02.09.010;Suku Cadang Alat Pembuat Amunisi;SSH;1
1.1.7.01.02.09.011;Suku Cadang Pendukung;SSH;1
1.1.7.01.02.09.012;Suku Cadang Alat Persenjataan Lainnya;SSH;1
1.1.7.01.02.10.001;Persediaan Dari Belanja Bantuan Sosial Lainnya;SSH;1
1.1.7.01.02.11.001;Suku Cadang Lainnya;SSH;1
1.1.7.01.03.01.001;Alat Tulis;SSH;1
1.1.7.01.03.01.002;Tinta Tulis, Tinta Stempel;SSH;1
1.1.7.01.03.01.003;Penjepit Kertas;SSH;1
1.1.7.01.03.01.004;Penghapus/Korektor;SSH;1
1.1.7.01.03.01.005;Buku Tulis;SSH;1
1.1.7.01.03.01.006;Ordner Dan Map;SSH;1
1.1.7.01.03.01.007;Penggaris;SSH;1
1.1.7.01.03.01.008;Cutter (Alat Tulis Kantor);SSH;1
1.1.7.01.03.01.009;Pita Mesin Ketik;SSH;1
1.1.7.01.03.01.010;Alat Perekat;SSH;1
1.1.7.01.03.01.011;Stadler Hd;SSH;1
1.1.7.01.03.01.012;Staples;SSH;1
1.1.7.01.03.01.013;Isi Staples;SSH;1
1.1.7.01.03.01.014;Barang Cetakan;SSH;1
1.1.7.01.03.01.015;Seminar Kit;SSH;1
1.1.7.01.03.01.016;Alat Tulis Kantor Lainnya;SSH;1
1.1.7.01.03.02.001;Kertas Hvs;SSH;1
1.1.7.01.03.02.002;Berbagai Kertas;SSH;1
1.1.7.01.03.02.003;Kertas Cover;SSH;1
1.1.7.01.03.02.004;Amplop;SSH;1
1.1.7.01.03.02.005;Kop Surat;SSH;1
1.1.7.01.03.02.006;Kertas Dan Cover Lainnya;SSH;1
1.1.7.01.03.03.001;Transparant Sheet;SSH;1
1.1.7.01.03.03.002;Tinta Cetak;SSH;1
1.1.7.01.03.03.003;Plat Cetak;SSH;1
1.1.7.01.03.03.004;Stensil Sheet;SSH;1
1.1.7.01.03.03.005;Chenical/Bahan Kimia Cetak;SSH;1
1.1.7.01.03.03.006;Film Cetak;SSH;1
1.1.7.01.03.03.007;Bahan Cetak Lainnya;SSH;1
1.1.7.01.03.04.001;Materai;SSH;1
1.1.7.01.03.04.002;Perangko;SSH;1
1.1.7.01.03.04.003;Benda Pos Lainnya;SSH;1
1.1.7.01.03.05.001;Persediaan Dokumen/Administrasi Tender;SSH;1
1.1.7.01.03.05.002;Persediaan Dokumen/Administrasi Tender Lainnya;SSH;1
1.1.7.01.03.06.001;Continuous Form;SSH;1
1.1.7.01.03.06.002;Computer File/Tempat Disket;SSH;1
1.1.7.01.03.06.003;Pita Printer;SSH;1
1.1.7.01.03.06.004;Tinta/Toner Printer;SSH;1
1.1.7.01.03.06.005;Disket;SSH;1
1.1.7.01.03.06.006;Usb/Flash Disk;SSH;1
1.1.7.01.03.06.007;Kartu Memori;SSH;1
1.1.7.01.03.06.008;Cd/Dvd Drive;SSH;1
1.1.7.01.03.06.009;Hard Disk Internal;SSH;1
1.1.7.01.03.06.010;Mouse;SSH;1
1.1.7.01.03.06.011;Cd/Dvd;SSH;1
1.1.7.01.03.06.012;Bahan Komputer Lainnya;SSH;1
1.1.7.01.03.07.001;Sapu Dan Sikat;SSH;1
1.1.7.01.03.07.002;Alat-Alat Pel Dan Lap;SSH;1
1.1.7.01.03.07.003;Ember, Slang, Dan Tempat Air Lainnya;SSH;1
1.1.7.01.03.07.004;Keset Dan Tempat Sampah;SSH;1
1.1.7.01.03.07.005;Kunci, Kran Dan Semprotan;SSH;1
1.1.7.01.03.07.006;Alat Pengikat;SSH;1
1.1.7.01.03.07.007;Peralatan Ledeng;SSH;1
1.1.7.01.03.07.008;Bahan Kimia Untuk Pembersih;SSH;1
1.1.7.01.03.07.009;Alat Untuk Makan Dan Minum;SSH;1
1.1.7.01.03.07.010;Kaos Lampu Petromak;SSH;1
1.1.7.01.03.07.011;Kaca Lampu Petromak;SSH;1
1.1.7.01.03.07.012;Pengharum Ruangan;SSH;1
1.1.7.01.03.07.013;Kuas;SSH;1
1.1.7.01.03.07.014;Segel/Tanda Pengaman;SSH;1
1.1.7.01.03.07.015;Perabot Kantor Lainnya;SSH;1
1.1.7.01.03.08.001;Kabel Listrik;SSH;1
1.1.7.01.03.08.002;Lampu Listrik;SSH;1
1.1.7.01.03.08.003;Stop Kontak;SSH;1
1.1.7.01.03.08.004;Saklar;SSH;1
1.1.7.01.03.08.005;Stacker;SSH;1
1.1.7.01.03.08.006;Balast;SSH;1
1.1.7.01.03.08.007;Starter;SSH;1
1.1.7.01.03.08.008;Vitting;SSH;1
1.1.7.01.03.08.009;Accu;SSH;1
1.1.7.01.03.08.010;Batu Baterai;SSH;1
1.1.7.01.03.08.011;Stavol;SSH;1
1.1.7.01.03.08.012;Alat Listrik Lainnya;SSH;1
1.1.7.01.03.09.001;Bahan Baku Pakaian;SSH;1
1.1.7.01.03.09.002;Penutup Kepala;SSH;1
1.1.7.01.03.09.003;Penutup Badan;SSH;1
1.1.7.01.03.09.004;Penutup Tangan;SSH;1
1.1.7.01.03.09.005;Penutup Kaki;SSH;1
1.1.7.01.03.09.006;Atribut;SSH;1
1.1.7.01.03.09.007;Perlengkapan Lapangan;SSH;1
1.1.7.01.03.09.008;Perlengkapan Dinas Lainnya;SSH;1
1.1.7.01.03.10.001;Kaporlap Dan Perlengkapan Satwa Anjing;SSH;1
1.1.7.01.03.10.002;Kaporlap Dan Perlengkapan Satwa Kuda;SSH;1
1.1.7.01.03.10.003;Kaporlap Dan Perlengkapan Satwa Lainnya;SSH;1
1.1.7.01.03.11.001;Bendera Start;SSH;1
1.1.7.01.03.11.002;Kostum Olah Raga;SSH;1
1.1.7.01.03.11.003;Bola Tenis Lapangan;SSH;1
1.1.7.01.03.11.004;Bola Tenis Meja;SSH;1
1.1.7.01.03.11.005;Bola Kaki;SSH;1
1.1.7.01.03.11.006;Bola Basket;SSH;1
1.1.7.01.03.11.007;Bola Volly;SSH;1
1.1.7.01.03.11.008;Bola Bulu Tangkis;SSH;1
1.1.7.01.03.11.009;Perlengkapan Pendungkung Olah Raga Lainnya;SSH;1
1.1.7.01.03.12.001;Plakat;SSH;1
1.1.7.01.03.12.002;Suvenir/Cendera Mata Lainnya;SSH;1
1.1.7.01.03.13.001;Alat/Bahan Untuk Kegiatan Kantor Lainnya;SSH;1
1.1.7.01.04.01.001;Obat Cair;SSH;1
1.1.7.01.04.01.002;Obat Padat;SSH;1
1.1.7.01.04.01.003;Obat Gas;SSH;1
1.1.7.01.04.01.004;Obat Serbuk/Tepung;SSH;1
1.1.7.01.04.01.005;Obat Gel/Salep;SSH;1
1.1.7.01.04.01.006;Alat/Obat Kontrasepsi Keluarga Berencana;SSH;1
1.1.7.01.04.01.007;Non Alat/Obat Kontrasepsi Keluarga Berencana;SSH;1
1.1.7.01.04.01.008;Obat Lainnya;SSH;1
1.1.7.01.04.02.001;Obat-Obatan Lainnya;SSH;1
1.1.7.01.05.01.001;Pita Cukai, Materai, Leges;SSH;1
1.1.7.01.05.01.002;Tanah Dan Bangunan;SSH;1
1.1.7.01.05.01.003;Hewan Dan Tanaman;SSH;1
1.1.7.01.05.01.004;Peralatan Dan Mesin;SSH;1
1.1.7.01.05.01.005;Jalan, Irigasi, Dan Jaringan;SSH;1
1.1.7.01.05.01.006;Aset Tetap Lainnya;SSH;1
1.1.7.01.05.01.007;Aset Lain-Lain;SSH;1
1.1.7.01.05.01.008;Barang Persediaan;SSH;1
1.1.7.01.05.01.009;Persediaan Untuk Dijual/Diserahkan Kepada Masyarakat Lainnya;SSH;1
1.1.7.01.05.02.001;Persediaan Untuk Dijual/Diserahkan Lainnya;SSH;1
1.1.7.01.06.01.001;Cadangan Energi;SSH;1
1.1.7.01.06.01.002;Cadangan Pangan;SSH;1
1.1.7.01.06.01.003;Persediaan Untuk Tujuan Strategis/Berjaga-Jaga Lainnya;SSH;1
1.1.7.01.06.02.001;Persediaan Untuk Tujuan Strategis/Berjaga-Jaga Lainnya;SSH;1
1.1.7.01.07.01.001;Makanan/Sembako;SSH;1
1.1.7.01.07.01.002;Minuman;SSH;1
1.1.7.01.07.01.003;Natura Lainnya;SSH;1
1.1.7.01.07.02.001;Pakan Hewan;SSH;1
1.1.7.01.07.02.002;Pakan Ikan;SSH;1
1.1.7.01.07.02.003;Pakan Lainnya;SSH;1
1.1.7.01.07.03.001;Natura Dan Pakan Lainnya;SSH;1
1.1.7.01.08.01.001;Hewan/Ternak;SSH;1
1.1.7.01.08.01.002;Biota Laut/Ikan;SSH;1
1.1.7.01.08.01.003;Tanaman;SSH;1
1.1.7.01.08.01.004;Persediaan Penelitian Biologi Lainnya;SSH;1
1.1.7.01.08.02.001;Persediaan Penelitian Biologi Lainnya;SSH;1
1.1.7.01.08.03.001;Antariksa;SSH;1
1.1.7.01.08.03.002;Pertanian;SSH;1
